fsq_name,fsq_latitude,fsq_longitude,city_bike_latitude,city_bike_longitude,fsq_distance (m),fsq_rating,fsq_popularity,fsq_price
Restaurant Prima Luna,45.617439,-73.593995,45.61749978312808,-73.60601127147675,941,7.4,0.9854625963498348,1.0
Salle Désilets,45.617818,-73.606,45.61749978312808,-73.60601127147675,19,,0.9617997797718061,
Fun O Max,45.618397,-73.605533,45.61749978312808,-73.60601127147675,106,,0.115713515919687,
Ecafé,45.611729,-73.606237,45.61749978312808,-73.60601127147675,641,,,
Gagnon Multi Services Inc,45.618448,-73.597475,45.61749978312808,-73.60601127147675,659,,0.6590914415575287,
Ge Sports,45.61855,-73.614667,45.61749978312808,-73.60601127147675,682,,,
Entreprise Viceversa,45.620482,-73.598124,45.61749978312808,-73.60601127147675,713,,0.6155378019351967,
Restaurant Shekz,45.623543,-73.60138,45.61749978312808,-73.60601127147675,773,,0.10495982006887988,
Grillades Sizzle,45.624004,-73.601104,45.61749978312808,-73.60601127147675,811,,0.9951151512311693,
Pizzeria Etc,45.617734,-73.593471,45.61749978312808,-73.60601127147675,964,,0.15649087458707214,1.0
Le Saint Bock,45.515893,-73.564685,45.516926210319546,-73.56425732374191,132,8.5,0.9791486071738162,2.0
Mamie Clafoutis,45.518104,-73.57052,45.516926210319546,-73.56425732374191,505,9.0,0.9549352201110513,2.0
Square Saint-Louis,45.516863,-73.570018,45.516926210319546,-73.56425732374191,439,8.7,0.9856148818030598,
La Fabrique Bistrot,45.51801,-73.569549,45.516926210319546,-73.56425732374191,426,8.6,0.9284492655155449,4.0
Saint-Houblon,45.514696,-73.562032,45.516926210319546,-73.56425732374191,301,8.2,0.9749666143429468,3.0
Place Émilie-Gamelin,45.515305,-73.560017,45.516926210319546,-73.56425732374191,397,8.3,0.9789494646580605,
Bouillon Bilk,45.511038,-73.565936,45.516926210319546,-73.56425732374191,675,9.3,0.9548883630485205,3.0
Cadet,45.510388,-73.564365,45.516926210319546,-73.56425732374191,741,9.4,0.9653843450554085,
