name,latitude,longitude,free_bikes,empty_slots,ebikes
Cégep Marie-Victorin,45.617499783128075,-73.60601127147675,7,4,1
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,11,1,0
Ateliers municipaux de St-Laurent (Cavendish / Poirier),45.506175841460966,-73.71118605136871,4,14,1
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),45.5129938566323,-73.68249848484993,1,23,0
Centre des loisirs (Tassé / Grenet),45.51473429416659,-73.69144901633263,6,8,3
Parc Marlborough (Beauzèle / Robichaud),45.52234149817879,-73.72167885303497,4,9,1
Champdoré / de Lorimier,45.566869345371856,-73.64101678133011,11,4,1
Beurling / Godin,45.44791581215845,-73.58381867408752,12,5,0
Kirkfield / de Chambois,45.51293324107222,-73.63389015197754,5,17,1
Parc des Rapides (LaSalle / 6e avenue),45.42947143740888,-73.59309915918857,16,3,1
Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,25,4,2
St-Charles / Montarville,45.53368199320325,-73.51526074111462,9,6,3
Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,12,6,2
Place Longueuil,45.52841043752244,-73.51716578006744,1,14,0
Place du Commerce,45.46714,-73.54259,1,31,1
Marché Maisonneuve,45.55321884238814,-73.53978216648102,8,12,1
Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,3,21,1
Rachel / de Brébeuf,45.52689,-73.57264,18,9,3
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,5,9,2
Parc St-Laurent (Salk / Thomas-Chapais),45.6062348,-73.6287838,8,9,2
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,2,12,2
Casino de Montréal,45.5063732,-73.52457672,5,27,3
La Ronde,45.52156536710626,-73.53533238172531,13,7,3
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,3,23,3
Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,13,6,2
des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,6,9,2
Parc Reine-Élizabeth (Penniston / Crawford),45.43914465255811,-73.59173655509949,13,2,0
Parc de la Confédération (Fielding / West Hill),45.471881993586074,-73.64002168178558,11,9,0
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,3,10,1
Centre ÉPIC (St-Zotique / 40e avenue),45.57414703721992,-73.57462137937546,1,20,1
Bélanger / des Galeries d'Anjou,45.59722114932571,-73.56279015541077,11,7,6
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.55984236120471,-73.61544728279114,17,17,6
Rosemont / Viau,45.56833021674857,-73.56666326522826,2,21,1
Parc Stoney-Point (St-Joseph / 47e avenue),45.43656827071224,-73.70836973190308,7,11,0
Parc LaSalle (10e avenue / Victoria),45.43805550384184,-73.67273926734924,5,14,2
Elgar / de l'Île-des-Sœurs,45.45682318753668,-73.546804189682,8,6,0
St-Jacques / des Seigneurs,45.489185716082275,-73.57190027832984,9,12,0
O'Brien / Poirier,45.52252484113786,-73.69143962860107,0,20,0
Thimens / Alexis-Nihon,45.50897852206792,-73.69856357574463,17,7,4
Parc Van Horne (de la Peltrie / de Westbury),45.490494421832885,-73.63852232694626,12,3,2
Hôpital Sacré-Coeur (Forbes),45.531943590076395,-73.71360540390015,3,10,0
Atwater / Greene,45.480495143306044,-73.57782661914825,22,0,0
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),45.59398503487043,-73.63767206668854,4,16,0
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,4,14,0
Parc Noel-Nord (Toupin / Keller),45.51758306374252,-73.72661411762238,9,10,2
Parc du Bois-Franc (de l'Équateur / des Andes),45.51317758246596,-73.71306091547012,12,7,5
Parc Grovehill (St-Antoine / Ivan-Franko),45.43982382100397,-73.69487822055817,12,3,6
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),45.6027276,-73.5579303,6,5,1
Aréna Chaumont (Chaumont / des Ormeaux),45.610926628992026,-73.54673445224762,15,4,14
Parc Chamberland (Dorais / de l'Église),45.502989,-73.689113,2,17,2
Parc Summerlea (53e avenue / St-Joseph),45.43836713933041,-73.71546685695648,9,5,3
Parc Kirkland (des Érables / Boyer),45.44606092178209,-73.65079946815968,12,0,2
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,2,19,0
Quai de la navette fluviale,45.51366626207095,-73.53842496871948,13,1,1
Lapierre / Serge,45.43854405099729,-73.62021625041962,3,11,0
Parc St-Louis (St-Joseph / 34e avenue),45.432839840726125,-73.69349151849747,11,11,3
Victoria / 18e avenue Lachine,45.43579350588776,-73.6801904439926,10,2,1
Métro Jolicoeur (de Sève / Drake),45.45608545783109,-73.58193710446358,0,19,0
Duchesneau / de Marseille,45.60962627826218,-73.52273898082785,3,16,0
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,15,17,6
