fsq_name,fsq_categories,fsq_latitude,fsq_longitude,city_bike_latitude,city_bike_longitude,fsq_distance (m),fsq_rating,fsq_popularity,fsq_price
Restaurant Prima Luna,['Italian Restaurant'],45.617439,-73.593995,45.61749978312808,-73.60601127147675,941,7.4,0.9855101323649994,1.0
Salle Désilets,"['Office Building', 'Music Venue']",45.617818,-73.606,45.61749978312808,-73.60601127147675,19,,0.9615321541525126,
Fun O Max,"['Playground', 'Recreation Center']",45.618397,-73.605533,45.61749978312808,-73.60601127147675,106,,0.5147124282534848,
Ecafé,['Restaurant'],45.611729,-73.606237,45.61749978312808,-73.60601127147675,641,,,
Gagnon Multi Services Inc,"['Agriculture and Forestry Service', 'Farm']",45.618448,-73.597475,45.61749978312808,-73.60601127147675,659,,0.7225723322010074,
Ge Sports,"['Sporting Goods Retail', 'Hiking Trail']",45.61855,-73.614667,45.61749978312808,-73.60601127147675,682,,,
Entreprise Viceversa,['Garden'],45.620482,-73.598124,45.61749978312808,-73.60601127147675,713,,0.26819725899027763,
Restaurant Shekz,['Restaurant'],45.623543,-73.60138,45.61749978312808,-73.60601127147675,773,,0.5489867635000586,
Grillades Sizzle,"['Bistro', 'Portuguese Restaurant']",45.624004,-73.601104,45.61749978312808,-73.60601127147675,811,,0.9951153801101089,
Pizzeria Etc,['Pizzeria'],45.617734,-73.593471,45.61749978312808,-73.60601127147675,964,,0.6958767716996603,1.0
Le Saint Bock,"['Bar', 'American Restaurant', 'Gastropub']",45.515893,-73.564685,45.516926210319546,-73.56425732374191,132,8.5,0.97897387841162,2.0
Mamie Clafoutis,"['Café', 'Sandwich Spot', 'Bakery']",45.518104,-73.57052,45.516926210319546,-73.56425732374191,505,9.0,0.9549959001991332,2.0
Square Saint-Louis,['Urban Park'],45.516863,-73.570018,45.516926210319546,-73.56425732374191,439,8.7,0.9856741243996721,
La Fabrique Bistrot,['Restaurant'],45.51801,-73.569549,45.516926210319546,-73.56425732374191,426,8.6,0.9279606419116786,4.0
Saint-Houblon,"['Bistro', 'Bar', 'Gastropub']",45.514696,-73.562032,45.516926210319546,-73.56425732374191,301,8.2,0.9748623638280426,3.0
Place Émilie-Gamelin,['Park'],45.515305,-73.560017,45.516926210319546,-73.56425732374191,397,8.3,0.9788801686775214,
Bouillon Bilk,['Restaurant'],45.511038,-73.565936,45.516926210319546,-73.56425732374191,675,9.3,0.9545039240951154,3.0
Cadet,"['Wine Bar', 'Restaurant']",45.510388,-73.564365,45.516926210319546,-73.56425732374191,741,9.4,0.965538245285229,
M Telus,['Arts and Entertainment'],45.510633,-73.563501,45.516926210319546,-73.56425732374191,681,8.8,0.9631486470657139,
O'Thym,['French Restaurant'],45.518359,-73.557934,45.516926210319546,-73.56425732374191,488,8.3,0.9492444652688298,3.0
Allô! Mon Coco,"['Coffee Shop', 'Restaurant']",45.498532,-73.707616,45.506175841460966,-73.71118605136871,895,7.8,0.9824762797235563,1.0
Parc Philippe-Laheurte,['Park'],45.507107,-73.718331,45.506175841460966,-73.71118605136871,554,7.1,0.9413728476045449,
Challenger la Piazza,['Mediterranean Restaurant'],45.512823,-73.711459,45.506175841460966,-73.71118605136871,755,6.9,0.9181211198313225,2.0
Tai Express,"['Fast Food Restaurant', 'Thai Restaurant']",45.498486,-73.707082,45.506175841460966,-73.71118605136871,892,6.5,0.8649759868806373,2.0
Boisé du parc Marcel-Laurin,['Hiking Trail'],45.506926,-73.705634,45.506175841460966,-73.71118605136871,422,,0.8402483307953613,
McDonald's,"['Fast Food Restaurant', 'Burger Joint']",45.498726,-73.706509,45.506175841460966,-73.71118605136871,902,6.0,0.9963101792198664,1.0
Centre d'exposition Lethbridge,['Arts and Entertainment'],45.504036,-73.70529,45.506175841460966,-73.71118605136871,525,,0.7425442192807777,
Nirvana Sushi,['Sushi Restaurant'],45.512891,-73.710929,45.506175841460966,-73.71118605136871,546,,0.862902659013705,2.0
Parc de l'Écu,['Playground'],45.511815,-73.71341,45.506175841460966,-73.71118605136871,635,,0.7947288274569521,
Parc des Équinoxes,['Playground'],45.510369,-73.717235,45.506175841460966,-73.71118605136871,665,,0.8962633243528172,
Decarie Hot Dog,"['Hot Dog Joint', 'Poutine Restaurant', 'Fast Food Restaurant']",45.513691,-73.681551,45.5129938566323,-73.68249848484993,90,7.7,0.976619421342392,1.0
