station_name,city_bike_latitude,city_bike_longitude,free_bikes,empty_slots,ebikes
Cégep Marie-Victorin,45.617499783128075,-73.60601127147675,4,7,1
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,11,3,0
Ateliers municipaux de St-Laurent (Cavendish / Poirier),45.506175841460966,-73.71118605136871,7,12,2
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),45.5129938566323,-73.68249848484993,22,2,15
Centre des loisirs (Tassé / Grenet),45.51473429416659,-73.69144901633263,2,12,2
Parc Marlborough (Beauzèle / Robichaud),45.52234149817879,-73.72167885303497,5,7,2
Champdoré / de Lorimier,45.566869345371856,-73.64101678133011,8,7,2
Beurling / Godin,45.44791581215845,-73.58381867408752,9,9,2
Kirkfield / de Chambois,45.51293324107222,-73.63389015197754,13,7,5
Parc des Rapides (LaSalle / 6e avenue),45.42947143740888,-73.59309915918857,13,7,2
Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,17,13,3
St-Charles / Montarville,45.53368199320325,-73.51526074111462,11,4,2
Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,12,5,2
Place Longueuil,45.52841043752244,-73.51716578006744,4,11,2
Place du Commerce,45.46714,-73.54259,17,14,0
Marché Maisonneuve,45.55321884238814,-73.53978216648102,13,7,0
Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,4,22,2
Rachel / de Brébeuf,45.52689,-73.57264,8,20,0
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,6,8,3
Parc St-Laurent (Salk / Thomas-Chapais),45.6062348,-73.6287838,8,9,0
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,6,6,0
Casino de Montréal,45.5063732,-73.52457672,0,29,0
La Ronde,45.52156536710626,-73.53533238172531,1,19,0
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,9,17,8
Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,14,3,0
des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,0,15,0
Parc Reine-Élizabeth (Penniston / Crawford),45.43914465255811,-73.59173655509949,0,14,0
Parc de la Confédération (Fielding / West Hill),45.471881993586074,-73.64002168178558,15,7,1
