yelp_name,yelp_categories,yelp_latitude,yelp_longitude,city_bike_latitude,city_bike_longitude,yelp_distance (m),yelp_rating,yelp_review_count,yelp_price
Capucine,['Italian'],45.6196699281717,-73.6097039384337,45.61749978312808,-73.60601127147675,375.1109995539719,5.0,4,
Restaurant Prima Luna,"['Italian', 'Sushi Bars']",45.617234,-73.594176,45.61749978312808,-73.60601127147675,920.9606954257877,4.0,14,$$$
Boulangerie Adriatica,"['Italian', 'Pizza']",45.61521,-73.60971,45.61749978312808,-73.60601127147675,365.54278795354594,4.0,1,
Grillades Sizzle,['Portuguese'],45.62398,-73.60103,45.61749978312808,-73.60601127147675,808.7412450707367,3.5,3,$$
Dagostino Pizza,['Pizza'],45.62479,-73.59907,45.61749978312808,-73.60601127147675,975.918228706879,4.5,3,
Pizzeria Etc (La),['Pizza'],45.6172299,-73.5938069,45.61749978312808,-73.60601127147675,956.3446666700872,4.5,2,$$
Tim Hortons,"['Coffee & Tea', 'Breakfast & Brunch']",45.6263,-73.59795,45.61749978312808,-73.60601127147675,1165.6244356833142,1.0,3,
Shekz Restaurant,"['Italian', 'Sushi Bars', 'Thai']",45.62356,-73.6015,45.61749978312808,-73.60601127147675,748.7847338093601,1.5,2,
L'Amère à Boire,"['Tapas Bars', 'Brewpubs']",45.51642,-73.566042,45.516926210319546,-73.56425732374191,150.01259913299967,4.0,68,$$
Le Saint-Bock,['Brasseries'],45.5158203,-73.564641,45.516926210319546,-73.56425732374191,126.55291295762142,4.0,209,$$
Poutineville,['Poutineries'],45.523205,-73.5613,45.516926210319546,-73.56425732374191,735.2045508324642,4.5,601,$$
Randolph Pub Ludique,"['Social Clubs', 'Breweries', 'Pubs']",45.5164298,-73.5660051,45.516926210319546,-73.56425732374191,146.93874545198923,4.5,96,$$
Bouillon Bilk,['Modern European'],45.51104,-73.5658,45.516926210319546,-73.56425732374191,663.2137265493847,4.5,498,$$$
Les Deux Gamins,"['French', 'Wine Bars']",45.51545,-73.57095,45.516926210319546,-73.56425732374191,546.8489417889465,4.0,595,$$
Au Pied de Cochon,['Canadian (New)'],45.522169,-73.57445,45.516926210319546,-73.56425732374191,985.1267085132862,4.0,1383,$$$
Le Cheval Blanc,['Brasseries'],45.51818786169083,-73.56426330319171,45.516926210319546,-73.56425732374191,140.28984963764958,4.0,53,$$
Pizzeria Dei Compari,['Pizza'],45.515,-73.56375,45.516926210319546,-73.56425732374191,219.9437449583081,4.0,90,$$
La Banquise,['Poutineries'],45.525354,-73.574769,45.516926210319546,-73.56425732374191,1244.5393115846173,4.0,2177,$$
La Demande Générale,"['Bistros', 'Canadian (New)', 'Pizza']",45.5175399,-73.56822,45.516926210319546,-73.56425732374191,317.75503535196384,4.5,65,$$
Le Mousso,['Canadian (New)'],45.52006,-73.56322,45.516926210319546,-73.56425732374191,351.96633559173364,4.5,54,$$$$
L'Express,['French'],45.52032,-73.57437,45.516926210319546,-73.56425732374191,875.7838167008706,4.0,672,$$$
Cadet,"['Canadian (New)', 'Bars']",45.5103,-73.564418,45.516926210319546,-73.56425732374191,736.9065123863892,4.5,113,$$$
Arepera,['Venezuelan'],45.514992,-73.572048,45.516926210319546,-73.56425732374191,643.9892984568851,4.5,329,$$
O'Thym,"['French', 'Breakfast & Brunch']",45.518377,-73.558126,45.516926210319546,-73.56425732374191,504.2133351031009,4.5,169,$$$
Acajou Br,"['Tapas/Small Plates', 'Brazilian']",45.51743,-73.56797,45.516926210319546,-73.56425732374191,296.0483272940898,4.0,64,$$
Ma Poule Mouillée,"['Portuguese', 'Chicken Shop']",45.5251692,-73.5752667883391,45.516926210319546,-73.56425732374191,1255.3141123936264,4.5,583,$$
Juliette & Chocolat,"['Creperies', 'Chocolatiers & Shops', 'Desserts']",45.51500120128985,-73.56277965889556,45.516926210319546,-73.56425732374191,243.0501847995878,4.0,229,$$
